6,44,10,52,0,0
7,49,12,45,1,0
8,55,12,34,2,0
9,61,13,28,2,0
10,60,15,23,3,1
11,53,16,20,3,1
12,45,16,19,3,1
13,27,17,33,4,0
14,26,19,35,4,0
15,26,21,30,5,0
16,28,21,23,5,0
17,30,23,20,5,0
18,29,22,15,5,0
19,28,23,17,5,0
20,23,23,17,5,0
21,10,25,46,7,1
22,9,27,47,7,1
23,8,29,48,7,1
24,8,31,43,7,1
25,7,33,45,7,1
26,6,35,48,7,1
27,6,36,43,7,1
28,6,38,46,7,1
29,6,39,41,7,1
30,6,41,44,7,1
31,4,43,62,8,0
32,4,44,57,8,0
33,4,45,65,8,0
34,4,47,72,8,0
35,4,49,67,8,0
36,4,51,62,8,0
37,4,53,57,8,0
38,4,54,52,8,0
39,4,56,60,8,0
40,3,58,76,8,0
41,3,60,71,8,0
42,3,62,66,8,0
43,3,64,61,8,0
44,3,65,56,8,0
45,3,66,67,8,0
46,3,67,62,8,0
47,3,67,57,8,0
48,3,68,69,8,0
49,3,68,64,8,0
50,3,69,76,8,0
51,3,70,71,8,0
52,3,70,66,8,0
53,3,72,77,8,0
54,3,72,72,8,0
55,3,73,84,8,0
56,3,74,79,8,0
57,3,74,74,8,0
58,3,76,86,8,0
59,3,76,81,8,0
60,3,77,92,8,0
61,2,78,134,9,0
62,2,79,129,9,0
63,2,80,124,9,0
64,2,81,119,9,0
65,2,82,114,9,0
66,2,83,109,9,0
67,2,84,104,9,0
68,2,85,99,9,0
69,2,86,94,9,0
70,2,87,89,9,0
71,2,87,84,9,0
72,2,88,104,9,0
73,2,89,99,9,0
74,2,90,94,9,0
75,2,90,89,9,0
76,2,90,84,9,0
77,2,90,79,9,0
78,2,91,99,9,0
79,2,92,94,9,0
80,2,92,89,9,0
81,2,93,109,9,0
82,2,94,129,9,0
83,2,95,124,9,0
84,2,96,119,9,0
85,2,97,114,9,0
86,2,97,109,9,0
87,2,97,104,9,0
88,2,96,99,9,0
89,2,96,144,9,0
90,2,96,139,9,0
91,2,96,134,9,0
92,2,96,129,9,0
93,2,96,124,9,0
94,2,96,144,9,0
95,2,96,139,9,0
96,2,96,134,9,0
97,2,96,154,9,0
98,2,95,149,9,0
99,2,95,169,9,0
100,2,94,164,9,0
101,2,94,184,9,0
102,2,93,179,9,0
103,2,93,199,9,0
104,2,93,194,9,0
105,2,93,189,9,0
106,2,93,209,9,0
107,2,93,204,9,0
108,2,93,199,9,0
109,2,92,194,9,0
110,2,92,214,9,0
111,2,92,209,9,0
112,2,92,229,9,0
113,2,93,249,9,0
114,2,94,244,9,0
115,2,95,239,9,0
116,2,96,259,9,0
117,2,97,254,9,0
118,2,97,249,9,0
119,2,97,269,9,0
120,2,97,289,9,0
121,2,97,284,9,0
122,2,97,279,9,0
123,2,97,299,9,0
124,2,97,294,9,0
125,2,96,289,9,0
126,2,94,309,9,0
127,2,94,354,9,0
128,2,94,349,9,0
129,2,94,344,9,0
130,2,94,364,9,0
131,2,94,359,9,0
132,2,94,379,9,0
133,2,94,374,9,0
134,2,94,369,9,0
135,2,94,364,9,0
136,2,94,359,9,0
137,2,94,354,9,0
138,2,94,349,9,0
139,2,94,344,9,0
140,2,94,339,9,0
141,2,94,334,9,0
142,2,94,329,9,0
143,2,94,324,9,0
144,2,94,344,9,0
145,2,94,339,9,0
146,2,94,334,9,0
147,2,94,354,9,0
148,2,94,374,9,0
149,2,94,369,9,0
150,2,93,364,9,0
151,2,93,384,9,0
152,2,93,379,9,0
153,2,93,374,9,0
154,2,93,369,9,0
155,2,93,364,9,0
156,2,93,359,9,0
157,2,93,354,9,0
158,2,93,349,9,0
159,2,93,344,9,0
160,2,93,339,9,0
161,2,93,359,9,0
162,2,92,354,9,0
163,2,92,374,9,0
164,2,92,369,9,0
165,2,92,364,9,0
166,2,92,359,9,0
167,2,92,354,9,0
168,2,92,349,9,0
169,2,92,344,9,0
170,2,91,339,9,0
171,2,91,359,9,0
172,2,91,354,9,0
173,2,91,349,9,0
174,2,91,369,9,0
175,2,91,364,9,0
176,2,91,359,9,0
177,2,91,354,9,0
178,2,91,349,9,0
179,2,91,344,9,0
180,2,91,339,9,0
181,2,91,334,9,0
182,2,91,329,9,0
183,2,91,324,9,0
184,2,92,344,9,0
185,2,92,339,9,0
186,2,92,334,9,0
187,2,92,329,9,0
188,2,92,324,9,0
189,2,91,319,9,0
190,2,90,339,9,0
191,2,90,359,9,0
192,2,91,379,9,0
193,2,91,374,9,0
194,2,91,394,9,0
195,2,91,389,9,0
196,2,91,384,9,0
197,2,91,379,9,0
198,2,92,399,9,0
199,2,93,394,9,0
200,2,93,414,9,0
201,2,93,409,9,0
202,2,93,404,9,0
203,2,93,399,9,0
204,2,93,394,9,0
205,2,93,389,9,0
206,2,93,384,9,0
207,2,93,379,9,0
208,2,93,374,9,0
209,2,94,394,9,0
210,2,94,389,9,0
211,2,95,409,9,0
212,2,96,404,9,0
213,2,96,399,9,0
214,2,96,394,9,0
215,2,96,389,9,0
216,2,96,384,9,0
217,2,96,379,9,0
218,2,96,374,9,0
219,2,95,394,9,0
220,2,94,414,9,0
221,2,94,434,9,0
222,2,94,429,9,0
223,2,94,424,9,0
224,2,94,419,9,0
225,2,93,414,9,0
226,2,93,434,9,0
227,2,93,429,9,0
228,2,92,424,9,0
229,2,92,469,9,0
230,2,92,464,9,0
231,2,92,484,9,0
232,2,92,479,9,0
233,2,92,474,9,0
234,2,92,469,9,0
235,2,92,464,9,0
236,2,92,459,9,0
237,2,92,454,9,0
238,2,92,449,9,0
239,2,92,444,9,0
240,2,92,439,9,0
241,2,92,434,9,0
242,2,92,429,9,0
243,2,92,424,9,0
244,2,92,419,9,0
245,2,91,439,9,0
246,2,91,459,9,0
247,2,91,454,9,0
248,2,91,449,9,0
249,2,91,444,9,0
250,2,91,439,9,0
251,2,91,434,9,0
252,2,91,454,9,0
253,2,91,449,9,0
254,2,91,444,9,0
255,2,91,439,9,0
256,2,91,434,9,0
