day,number of animals,number of grass,avg energy,length of life,avg children
1,15,2,95,0,0
2,15,2,90,0,0
3,18,4,88,0,0
4,21,4,68,0,0
5,24,6,58,0,0
6,28,8,46,0,0
 ,20,4,74,0,0
