day,number of animals,number of grass,avg energy,length of life,avg children
1,18,1,95,0,0
2,22,2,74,0,0
3,27,4,55,0,0
4,32,3,40,0,0
5,40,5,32,0,1
6,48,3,20,0,1
 ,31,3,52,0,0
